math score,reading score,writing score,placement score,club join year,placement offer count
67,88,79,84,2015,2
80,79,63,61,2020,1
69,95,71,88,2018,3
74,95,75,75,2021,2
78,76,77,78,2019,2
82,87,81,96,2019,3
74,77,67,98,2016,3
70,76,82,62,2019,1
66,94,63,76,2021,2
85,75,67,92,2021,3
78,93,83,87,2017,3
67,80,63,63,2018,1
68,85,80,75,2021,2
88,81,84,85,2020,3
73,76,69,85,2021,3
64,85,80,64,2019,1
74,77,85,80,2021,2
62,76,66,92,2020,3
82,91,62,65,2020,1
87,75,73,89,2020,3
64,85,65,78,2018,2
84,92,79,96,2021,3
71,75,86,92,2018,3
75,75,65,87,2019,3
75,90,65,87,2019,3
79,76,72,66,2019,1
79,94,79,75,2018,2
87,92,70,75,2019,2
78,90,77,80,2020,2
76,90,63,75,2019,2
