Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Year,Placement_Offer_Count
68,89,54,88,2020,3
79,88,66,86,2002,1
70,79,61,100,2021,3
76,78,73,65,2020,1
54,82,67,99,2019,3
78,77,75,86,2019,3
72,90,99,79,2018,2
79,80,76,89,2021,3
65,90,78,43,2021,1
70,92,80,88,2008,3
32,93,79,78,2020,2
75,82,60,91,2020,3
64,78,89,80,2018,2
72,78,65,65,2018,1
62,90,73,77,2019,1
77,84,63,97,2020,3
90,78,67,85,2018,3
65,83,76,76,2020,2
73,92,39,62,2018,1
78,80,76,85,2019,3
78,85,68,84,2030,2
76,78,61,95,2019,3
43,76,68,92,2021,3
77,84,77,78,2021,2
61,81,92,76,2021,2
71,89,76,76,2019,1
60,78,62,82,2021,2
73,87,63,100,2020,3
89,88,77,100,2021,3
73,92,75,89,2021,3
